English Term;Turkish Term
Cyber courses of action;Siber eylem kursları
Cyber crime;Siber suç
Cyber crime investigation;Siber suç soruşturma
Cyber crime investigation cell;Siber suç soruşturma birimi
Cyber crime unit;Siber suç birimi
Cyber criminal;Siber suçlu
Cyber criminology;Siber suç bilimi
Cyber culture;Siber kültür
Cyber defamation law;Siber karalama kanunu
Cyber defence;Siber savunma
Cyber defence activty;Siber savunma etkinliği
Cyber diplomacy;Siber diplomasi
Cyber dissident;Siber karşıt
Cyber drill;Siber savaş alıştırması
Cyber ecosystem;Siber ekosistem
Cyber electronic warfare;Siber elektronik savaş
Cyber enhanced working;dog Siber güçlendirilmiş köpek
Cyber espionage;Siber casusluk
Cyber espionage tool;Siber casusluk aracı
Cyber essentials;Siber gerekler
Cyber ethics;Siber etik
Cyber exercise;Siber alıştırma
Cyber exercise playbook;Siber alıştırma kitabı
Cyber foraging;Siber yardım
Cyber force;Siber güç
Cyber forensics;Siber adli inceleme
Cyber fraud;Siber dolandırıcılık
Cyber gamer;Siber oyuncu
Cyber glomp;Siber heyecan
Cyber glove;Veri eldiveni
Cyber god;Siber tanrı
Cyber gogue;Siber duygu sömürücüsü
Cyber goth;Siber gösterişçi
Cyber gothic;Siber gösteriş
Cyber grind;Siber can sıkıcı
Cyber griping;Siber yakınma
Cyber grounded;Genelağdan yasaklı
Cyber guru;Siberbilen
Cyber hacking;Siber saldırı
Cyber harassment;Siber taciz
Cyber heist;Siber soygun
Cyber humint;Siber aldatma becerisi
Cyber hunt;Siber av
Cyber hygiene;Siber güvenli siber korunma
Cyber incident;Siber olay
Cyber incident data and analysis repository ;Siber olay verisi çözümleme havuzu
Cyber incident response;Siber olaya karşı koyma
Cyber incident response plan;Siber olay müdahale planı
Cyber incident response team;Siber olay müdahale ekibi
Cyber infrastructure;Siber altyapı
Cyber initiative;Siber girişim
Cyber insecurity;Siber güvensizlik
Cyber insider threat;Siber iç tehdit
Cyber insurance;Siber sigorta
Cyber intelligence;Siber istihbarat
Cyber intelligence & counterintelligence ;Siber istihbarat ve karşı istihbarat
Cyber investigation services;Siber soruşturma hizmetleri
Cyber investing;Siber yatırım
Cyber journal;Siber günlük
Cyber kinesthetics;Siber organizma
Cyber key;Siber anahtar
Cyber kidnapping;Siber kaçırma
Cyber killchain;Siber saldırı zinciri
Cyber kinetic attack;Fiziksel siber saldırı
Cyber kinetics;Siber devinim
Cyber lab Inc;Siber laboratuvar şirketi
Cyber lawyer;Siber hukukçu
Cyber learning;Siber öğrenme
Cyber liability;Siber sorumluluk
Cyber libel;Siber iftira
Cyber libertarian;Siber özgürlükçü
Cyber luddite;Siber karşıtı
Cyber macking;Siber asılma
Cyber mall;Siber çarşı
Cyber mancer;Siber aldatıcı
Cyber manufacturing;Siber üretim
Cyber mat;Siber paspas
Cyber mate;Siberdaş
Cyber mediary;Siber aracı
Cyber mentor;Siber danışman
Cyber method;Siber yöntem
Cyber methodology;Siber yöntembilim
Cyber metrics lab;Siber ölçüm laboratuvarı
Cyber militia;Siber milis
Cyber milker;İnternet tutkunu
Cyber mind;Siber us
Cyber mission impact;analysis Siber görev etki analizi
Cyber mob;Siber çete
Cyber nanny;Çocuk koruma yazılımı
Cyber nationalism;Siber ulusçuluk
Cyber naught;Siber gezenti
Cyber naut;İnternet kullanıcısı
Cyber nerd;Siber bağımlı
Cyber net;Siber ağ
Cyber net entertainment;Siber ağ eğlencesi
Cyber network operations;Siber ağ işlemleri
Cyber noid;Siber pişmanlık
Cyber noir;Karanlık siber film
Cyber nomad;Siber göçebe
Cyber norms group;Siber ölçün topluluğu
Cyber nym;Siber takma ad
Cyber oam;Siber eksiksiz
Cyber observable expression;Gözlenebilir siber ifade
Cyber ocracy;Siber yönetim
Cyber operations;Siber işlemler
Cyber operations planning ;Siber operasyon planlaması
Cyber park;Siberpark
Cyber party;Siber parti
Cyber partying;Siber parti yapma
Cyber pathology;Siber bağımlılık
Cyber pathy;Siberduyum
Cyber patriot;Siber yurtsever
Cyber ped;Siber çocuk tacizcisi
Cyber pestilence;Siber kırım
Cyber pet;Siber candaş
Cyber phobe;Siber ırkçısı
Cyber phobia;Siber korkusu
Cyber phobic;Siber korkan
Cyber physical attack;Siber-fiziksel saldırı
Cyber physical attack engineering;Siber-fiziksel saldırı mühendisliği
Cyber physical attack severity level ;Siber fiziksel saldırı şiddet düzeyi
Cyber physical recovery procedure;Siber-fiziksel geri kazanım yordamı
Cyber physical system;Siber fiziksel dizge
Cyber piracy;Siber korsanlık
Cyber pirate;Siber korsan
Cyber plagiarism;Siber yapıt hırsızlığı
Cyber poetry;Siber şiir
Cyber police;Siber polis
Cyber politics;Siber siyaset
Cyber port;Siber liman
Cyber port station;Siber liman durağı
Cyber posium;Siber sempozyum
Cyber prankster;Siber şakacı
Cyber prep;Siber hazırlık
Cyber presse;Siber baskı
Cyber prise;Siber ödül
Cyber promotions;Siber özendirme
Cyber prop;Siber yanlış bilgi yayma
Cyber protection;Siber korunma
Cyber psycho;Siber pisikopat
Cyber psycho squad;Siber ruhbilim takımı
Cyber psychology;Siber ruhbilimi
Cyber psychosis;Siber bağımlılık
Cyber query;Siber sorgu
Cyber quest;Siber arayış
Cyber race;Siber yarış
Cyber racism;Siber ırkçılık
Cyber rage;Siber öfke
Cyber realm;Siber alan
Cyber reg;Siber düzenleyici
Cyber resilience;Siber dayanıklılık
Cyber resilience review;Siber dayanıklılığı gözden geçirme
Cyber resiliency;Siber dayanıklılık
Cyber resiliency and survivability;Siber dayanıklılık ve hayatta kalabilirlik
Cyber resiliency concept;Siber dayanıklılık kavramı
Cyber resiliency construct;Siber dayanıklılık yapısı
Cyber resiliency control;Siber dayanıklılık denetimi
Cyber resiliency design principle;Siber dayanıklılık tasarım ilkesi
Cyber resiliency engineering practice;Siber dayanıklılık mühendisliği uygulaması
Cyber resiliency implementation approach;Siber dayanıklılık uygulama yaklaşımı
Cyber resiliency objective;Siber dayanıklılık amacı
Cyber resiliency risk model;Siber dayanıklılık çekince örneği
Cyber resiliency solution;Siber dayanıklılık çözümü Cyber resiliency sub- objective Siber dayanıklılık alt amacı
Cyber resiliency technique;Siber dayanıklılık tekniği
Cyber resilient;Siber dayanıklı
Cyber resilient energy delivery consortium;Siber dayanıklı enerji dağıtım birliği
Cyber resilient user;Siber dayanıklı kullanıcı
Cyber resource;Siber kaynak
Cyber rhea;Genelağda yavaşlama
Cyber rights;Siber haklar
Cyber risk;Siber risk
Cyber risk quantification;Siber risk nicelleştirme
Cyber safety;Siber güvenlik
Cyber samurai;Siber savaşçı
Cyber sectarianism;Siber mezhepçilik
Cyber security;Siber güvenlik
Cyber security analysis and review ;Siber güvenlik analizi ve incelemesi
Cyber security architecture;Siber güvenlik mimarisi
Cyber security assessment and management ;Siber güvenlik değerlendirmesi ve yönetimi
Cyber security certification;Siber güvenlik belgelendirme
Cyber security degree;Siber güvenlik düzeyi
Cyber security evaluation tool;Siber güvenlik değerlendirme aracı
Cyber security event;Siber güvenlik olayı
Cyber security expert;Siber güvenlik uzmanı
Cyber security forensics;Siber güvenlik adli bilişimi
Cyber security incident;Siber güvenlik olayı
Cyber security incident response;Siber güvenlik olayı önleme
Cyber security incident response team ;Siber güvenlik olaylarına müdahale takımı
Cyber security index;Siber güvenlik dizini
Cyber security operator;Siber güvenlik işletmeni
Cyber security regulation;Siber güvenlik yönetmeliği
Cyber security risk;Siber güvenlik riski
Cyber security risk factor;Siber güvenlik risk etkeni
Cyber security standards;Siber güvenlik standartları
Cyber security task force;Siber güvenlik görev birimi
Cyber security threat;Siber güvenlik tehdidi
Cyber security threats and defense ;Siber güvenlik tehditleri ve savunma
Cyber security vulnerability;Siber güvenlik savunmasızlığı
Cyber security weakness;Siber güvenlik zayıflığı
Cyber seniors;Siber kıdemliler
Cyber shopped;Siber görüntü sahteciliği
Cyber sickness in virtual reality;Sanal gerçeklikte siber rahatsızlık
Cyber siege;Siber kuşatma
Cyber sit in;Siber ele geçirme
Cyber sitter;Siber işgalci
Cyber slacking;Sanal kaytarma
Cyber slam;Siber çarpışma
Cyber slang;Siber argo
Cyber sleuth;Siber hafiye
Cyber snob;Siber züppe
Cyber somnia;Siber bağımlılık
Cyber source;Siber kaynak
Cyber space;Siber uzay
Cyber space law and policycentre;Siber uzay hukuku ve politika merkezi
Cyber space operations lexicon;Siber uzay operasyonları sözlüğü
Cyber space superiority;Siber uzay üstünlüğü
Cyber spammer;Siber istenmeyen ileti üreticisi
Cyber spying;Siber casusluk
Cyber squat;Alan adına çökme
Cyber squatted;Siber işgal
Cyber squatter;Siber uyanık
Cyber squatting;Alan adı fırsatçılığı
Cyber stalker;Siber rahatsız eden
Cyber stalking;Siber rahatsızlık verme
Cyber stalking legislation;Siber takip düzenlemeleri
Cyber strategy and tactics;Siber strateji ve taktikler
Cyber strike;Siber saldırı
Cyber stumble;Siber tökezleme
Cyber subculture;Siber alt kültür
Cyber suicide;Siber intihar
Cyber suit;Siber takım
Cyber supply chain risk management;Siber tedarik zinciri risk yönetimi
Cyber survivability;Siber hayatta kalma
Cyber teams;Siber takımlar
Cyber territory;Siber bölge
Cyber terrorism;Siber terörizm 
Cyber theft;Siber hırsızlık
Cyber threat;Siber tehlike
Cyber threat hunting;Siber tehdit önleme
Cyber threat intelligence;Siber tehdit haberalma
Cyber thrill;Siber heyecan
Cyber thug;Siber cani
Cyber trust;Siber güven
Cyber victimization;Siber mağduriyet
Cyber vulnerability;Siber güvenlik açığı
Cyber wallet;Siber cüzdan
Cyber war;Siber savaş
Cyber warfare;Siber savaş
Cyber warranty;Siber güvence
Cyber warrior;Siber savaşçı
Cyber weapon;Siber silah
Cyber worthiness;Siber dayanıklılık
Cyberactive;Siber etkin
Cyberage;Siber çağ
Cyberation;Siber azarlama
Cyberattack;Siber saldırı
Cyberbash;Siber sataşma
Cyberbegging;Siber dilenme
Cyberbullying detection software;Siber sataşma sezimi yazılımı
Cybercop;Siber polis
Cybercrime;Siber suç
Cybercrime convention;Siber suç sözleşmesi
Cybercrime countermeasures;Siber suç önlemleri
Cybercriminal;Siber suçlu
Cybercrisis;Siber buhran
Cybercrook;Siber dolandırıcı
Cyberdefense;Siber savunma
Cyberhog;Tombik bilişimci
Cyberholism;Siber bağımlılık
Cyberhooliganism;Siber saldırgan
Cyberhygiene;Siber korunma
Cyberia;Sanal dünya
Cyberinfrastructure;Siber altyapı
Cyberloafing;Siber aylaklık
Cyberlocker;Siber barındırma
Cyberlore;Klavye silahşörü
Cyberluddite;Siberkarşıtı
Cyberluscious;Siberalbeni
Cybermall;Siber çarşı
Cybermark;Siber marka
Cybermate;Siberdaş
Cybermeet;Siber buluşma
Cybermentor;Siber danışman
Cybermilker;İnternet tutkunu
Cybermonging;Genel ağda kafayı bulmak
Cybernat;Genelağ saldırganı
Cybernate;Siberleştirme
Cybernated;Siberleştirilmiş
Cybernating;Siber güdüm
Cybernerd;Siber bağımlı
Cybernetic;Siber
Cybernym;Takma ad
Cyberocracy;Siber yönetim
Cyberpathology;Siber bağımlılık
Cyberpathy;Siberduyum
Cyberpestilence;Siber kırım
Cyber-physical system;Siber fiziksel sistem
Cybersecurity;Siber güvenlik
Cybersecurity and;information assurance Siber güvenlik ve bilgi güvencesi
Cybersecurity and;infrastructure security agency Siber güvenlik ve altyapı güvenliği ajansı
Cybersecurity architecture;Siber güvenlik mimarisi
Cybersecurity control;Siber güvenlik denetimi
Cybersecurity degree;Siber güvenlik düzeyi
Cybersecurity event;Cybersecurity event
Cybersecurity expert;Siber güvenlik uzmanı
Cybersecurity expertise;Siber güvenlik uzmanlığı
Cybersecurity for smart manufacturing systems ;Akıllı üretim sistemleri için siber güvenlik
Cybersecurity framework;Siber güvenlik çerçevesi
Cybersecurity framework category;Siber güvenlik çerçevesi kategorisi
Cybersecurity framework core;Siber güvenlik çerçevesi çekirdeği
Cybersecurity framework function;Siber güvenlik çerçevesi işlevi
Cybersecurity framework profile;Siber güvenlik çerçeve profili
Cybersecurity framework subcategory;Siber güvenlik çerçevesi alt kategorisi
